reporting_month,state,rows,weighted_rows
200501,CURRENT,36,1218.0095999999999
200502,CURRENT,2230,75448.928
200502,PAID_OFF,2,67.6672
200503,30_DPD,18,609.0047999999999
200503,60_DPD,1,33.8336
200503,CURRENT,5010,169506.33599999998
200503,PAID_OFF,11,372.16959999999995
200504,30_DPD,35,1184.176
200504,CENSORED_DEFECT,1,33.8336
200504,CURRENT,9210,311993.8133999999
200504,PAID_OFF,15,507.50399999999996
200505,30_DPD,63,2131.5168
200505,60_DPD,2,67.6672
200505,CURRENT,12146,423875.9719
200505,PAID_OFF,36,1227.9162000000001
200506,30_DPD,67,2326.2907999999998
200506,60_DPD,7,236.8352
200506,90_PLUS,1,33.8336
200506,CURRENT,15163,540806.8898
200506,PAID_OFF,56,1939.2613
200507,30_DPD,104,3726.733
200507,60_DPD,7,251.6951
200507,90_PLUS,2,67.6672
200507,CENSORED_DEFECT,10,382.9157
200507,CURRENT,18466,669867.9038
200507,PAID_OFF,95,3352.8844
200508,30_DPD,109,4002.0611
200508,60_DPD,12,430.7697
200508,90_PLUS,4,135.3344
200508,CURRENT,21628,825785.8258999999
200508,PAID_OFF,135,4782.6687
200509,30_DPD,162,6260.557500000001
200509,60_DPD,15,547.1304
200509,90_PLUS,7,251.6951
200509,CENSORED_DEFECT,1,38.7869
200509,CURRENT,24902,993296.8057
200509,PAID_OFF,128,4643.5561
200510,30_DPD,203,8060.7052
200510,60_DPD,44,1636.6057
200510,90_PLUS,13,479.46320000000003
200510,CENSORED_DEFECT,2,72.62049999999999
200510,CURRENT,27676,1135623.2651
200510,PAID_OFF,148,5455.4363
200511,30_DPD,248,9841.0402
200511,60_DPD,35,1382.4337
200511,90_PLUS,32,1171.8346000000001
200511,CENSORED_DEFECT,1,50.8343
200511,CURRENT,31181,1273499.8492
200511,PAID_OFF,130,5015.0435
200512,30_DPD,275,10968.3043
200512,60_DPD,35,1353.3856
200512,90_PLUS,31,1133.0477
200512,CURRENT,34144,1386538.2749
200512,PAID_OFF,154,5958.3494
200601,30_DPD,261,10554.1443
200601,60_DPD,37,1444.0514
200601,90_PLUS,36,1336.2171
200601,CURRENT,37014,1494814.1727
200601,DEFAULTED,1,33.8336
200601,PAID_OFF,153,6039.0842999999995
200602,30_DPD,303,12096.6249
200602,60_DPD,40,1653.0782000000002
200602,90_PLUS,39,1470.6231
200602,CURRENT,39786,1579808.5908
200602,DEFAULTED,1,33.8336
200602,PAID_OFF,163,6363.4166
200603,30_DPD,215,8426.8444
200603,60_DPD,36,1365.7821
200603,90_PLUS,35,1358.2873
200603,CURRENT,42726,1667834.3391
200603,DEFAULTED,1,33.8336
200603,PAID_OFF,234,9199.2681
200604,30_DPD,334,12902.154199999999
