vintage,feature,rows,observed,missing_rate,mean,p25,median,p75
2005Q1,classic_fico,10000,9995,0.0005,724.1220610305153,684.0,730.0,770.0
2005Q1,original_ltv,10000,9999,0.0001,68.57585758575857,58.0,74.0,80.0
2005Q1,original_cltv,10000,9999,0.0001,70.13911391139114,59.0,75.0,80.0
2005Q1,original_dti,10000,9671,0.0329,35.09058008478958,26.0,35.0,44.0
2005Q1,original_upb,10000,10000,0.0,164725.2,99000.0,148000.0,218000.0
2005Q1,original_interest_rate,10000,10000,0.0,5.6555621,5.375,5.625,5.875
2005Q2,classic_fico,10000,9994,0.0006,725.3064838903342,685.0,734.0,773.0
2005Q2,original_ltv,10000,10000,0.0,69.2232,60.0,75.0,80.0
2005Q2,original_cltv,10000,10000,0.0,70.8543,60.0,75.0,80.0
2005Q2,original_dti,10000,9722,0.0278,34.995474182267024,26.0,35.0,43.0
2005Q2,original_upb,10000,10000,0.0,168068.1,102000.0,150000.0,220000.0
2005Q2,original_interest_rate,10000,10000,0.0,5.7845922,5.5,5.75,6.0
2005Q3,classic_fico,10000,9996,0.0004,727.5952380952381,688.0,736.0,774.0
2005Q3,original_ltv,10000,10000,0.0,68.7203,59.0,75.0,80.0
2005Q3,original_cltv,10000,10000,0.0,70.4673,59.0,75.0,80.0
2005Q3,original_dti,10000,9640,0.036,34.94315352697095,26.0,35.0,43.0
2005Q3,original_upb,10000,10000,0.0,174472.1,107000.0,156000.0,231000.0
2005Q3,original_interest_rate,10000,10000,0.0,5.717678500000001,5.5,5.75,5.875
2005Q4,classic_fico,10000,9989,0.0011,723.5544098508359,682.0,730.0,771.0
2005Q4,original_ltv,10000,9998,0.0002,68.58171634326865,59.0,75.0,80.0
2005Q4,original_cltv,10000,9998,0.0002,70.374474894979,59.0,75.0,80.0
2005Q4,original_dti,10000,9654,0.0346,35.89020095297286,27.0,36.0,44.0
2005Q4,original_upb,10000,10000,0.0,172397.1,105000.0,154000.0,224000.0
2005Q4,original_interest_rate,10000,10000,0.0,6.0464166,5.75,6.0,6.25
2006Q1,classic_fico,10000,9989,0.0011,721.2477725498048,680.0,726.0,770.0
2006Q1,original_ltv,10000,10000,0.0,69.4314,60.0,76.0,80.0
2006Q1,original_cltv,10000,10000,0.0,71.5324,60.0,77.0,80.0
2006Q1,original_dti,10000,9745,0.0255,36.46372498717291,28.0,37.0,45.0
2006Q1,original_upb,10000,10000,0.0,178216.8,107000.0,159000.0,230000.0
2006Q1,original_interest_rate,10000,10000,0.0,6.2257036999999995,6.0,6.25,6.375
2006Q2,classic_fico,10000,9995,0.0005,724.7267633816908,683.0,731.0,773.0
2006Q2,original_ltv,10000,9999,0.0001,69.94559455945594,61.0,78.0,80.0
2006Q2,original_cltv,10000,9999,0.0001,72.50775077507751,62.0,79.0,87.0
2006Q2,original_dti,10000,9784,0.0216,36.414349959116926,28.0,36.0,45.0
2006Q2,original_upb,10000,10000,0.0,175972.4,106000.0,156000.0,230000.0
2006Q2,original_interest_rate,10000,10000,0.0,6.5055008,6.25,6.5,6.75
2006Q3,classic_fico,10000,9992,0.0008,724.1066853482786,681.0,730.0,773.0
2006Q3,original_ltv,10000,9999,0.0001,70.37053705370538,61.0,78.0,80.0
2006Q3,original_cltv,10000,9999,0.0001,73.17621762176218,62.0,80.0,89.0
2006Q3,original_dti,10000,9825,0.0175,36.52743002544529,28.0,37.0,45.0
2006Q3,original_upb,10000,10000,0.0,176395.4,104000.0,155000.0,231000.0
2006Q3,original_interest_rate,10000,10000,0.0,6.6119398,6.375,6.625,6.875
2006Q4,classic_fico,10000,9996,0.0004,723.6740696278512,682.0,729.0,771.0
2006Q4,original_ltv,10000,9999,0.0001,70.03740374037403,61.0,76.0,80.0
2006Q4,original_cltv,10000,9999,0.0001,73.03220322032203,63.0,79.0,88.0
2006Q4,original_dti,10000,9826,0.0174,36.36047221656829,28.0,36.0,45.0
2006Q4,original_upb,10000,10000,0.0,183969.9,108000.0,164000.0,245000.0
2006Q4,original_interest_rate,10000,10000,0.0,6.2789071000000005,6.0,6.25,6.5
