segment_type,segment,from_state,to_state,sample_count,weighted_count,probability
Classic FICO,660 to 699,30_DPD,30_DPD,27210,915588.5651,0.4825957072911894
Classic FICO,660 to 699,30_DPD,60_DPD,10969,366306.428,0.19307570719459738
Classic FICO,660 to 699,30_DPD,90_PLUS,58,1914.0889,0.0010088932100335104
Classic FICO,660 to 699,30_DPD,CENSORED_DEFECT,7,221.6019,0.0001168036929948891
Classic FICO,660 to 699,30_DPD,CENSORED_RPL,70,2402.5957,0.0012663792617917113
Classic FICO,660 to 699,30_DPD,CURRENT,17781,599180.4396,0.31582079447685735
Classic FICO,660 to 699,30_DPD,DEFAULTED,5,163.2906,8.606850894036215e-05
Classic FICO,660 to 699,30_DPD,PAID_OFF,338,11439.5449,0.006029646363595481
Classic FICO,660 to 699,60_DPD,30_DPD,3011,101433.1508,0.15283316812115977
Classic FICO,660 to 699,60_DPD,60_DPD,7695,256778.36190000002,0.3868976783686651
Classic FICO,660 to 699,60_DPD,90_PLUS,7070,234339.0682,0.35308754509838736
Classic FICO,660 to 699,60_DPD,CENSORED_DEFECT,6,197.4742,0.0002975418526404636
Classic FICO,660 to 699,60_DPD,CENSORED_RPL,18,615.7065,0.0009277082914769404
Classic FICO,660 to 699,60_DPD,CURRENT,1983,66594.2556,0.10034008587671996
Classic FICO,660 to 699,60_DPD,DEFAULTED,12,379.5732,0.0005719173094038068
Classic FICO,660 to 699,60_DPD,PAID_OFF,98,3347.8651,0.0050443550815466075
Classic FICO,660 to 699,90_PLUS,30_DPD,502,16832.2896,0.00667768882418259
Classic FICO,660 to 699,90_PLUS,60_DPD,1024,33740.2122,0.013385382695262628
Classic FICO,660 to 699,90_PLUS,90_PLUS,68937,2279448.3901,0.904300448815458
Classic FICO,660 to 699,90_PLUS,CENSORED_DEFECT,97,3033.4153,0.001203413435086958
Classic FICO,660 to 699,90_PLUS,CENSORED_RPL,8,260.9642,0.0001035294522173472
Classic FICO,660 to 699,90_PLUS,CURRENT,2999,99797.7195,0.03959164985992512
Classic FICO,660 to 699,90_PLUS,DEFAULTED,2446,80618.5546,0.031982911051754596
Classic FICO,660 to 699,90_PLUS,PAID_OFF,205,6944.401400000001,0.00275497586611259
Classic FICO,660 to 699,CURRENT,30_DPD,25716,863456.4034,0.01766532219146142
Classic FICO,660 to 699,CURRENT,60_DPD,210,7008.2717,0.00014338115635984067
Classic FICO,660 to 699,CURRENT,90_PLUS,165,5435.2249,0.00011119843302276642
Classic FICO,660 to 699,CURRENT,CENSORED_DEFECT,73,2341.7069,4.790862248931042e-05
Classic FICO,660 to 699,CURRENT,CENSORED_RPL,515,17011.1403,0.0003480283116325936
Classic FICO,660 to 699,CURRENT,CURRENT,1389220,47393866.4767,0.9696238488860432
Classic FICO,660 to 699,CURRENT,DEFAULTED,15,509.354,1.0420795403310387e-05
Classic FICO,660 to 699,CURRENT,PAID_OFF,17486,588981.9587,0.012049891603587501
Classic FICO,660 to 699,DEFAULTED,CENSORED_DEFECT,9,299.0422,0.0008392244601067191
Classic FICO,660 to 699,DEFAULTED,DEFAULTED,10837,356032.5642,0.9991607755398932
Classic FICO,700 to 739,30_DPD,30_DPD,15441,520256.1942,0.4480869956512072
Classic FICO,700 to 739,30_DPD,60_DPD,7142,238111.903,0.2050813588257738
Classic FICO,700 to 739,30_DPD,90_PLUS,32,1044.3065,0.0008994417891430986
Classic FICO,700 to 739,30_DPD,CENSORED_DEFECT,4,126.91329999999999,0.00010930806771580453
Classic FICO,700 to 739,30_DPD,CENSORED_RPL,57,1882.5782,0.0016214296324017846
Classic FICO,700 to 739,30_DPD,CURRENT,11520,389802.6511,0.3357297823178416
Classic FICO,700 to 739,30_DPD,DEFAULTED,11,358.8092,0.00030903569862775334
Classic FICO,700 to 739,30_DPD,PAID_OFF,278,9477.3297,0.00816264801728901
Classic FICO,700 to 739,60_DPD,30_DPD,1630,54760.7662,0.13444686657599264
Classic FICO,700 to 739,60_DPD,60_DPD,4289,144747.0477,0.35537828193117466
Classic FICO,700 to 739,60_DPD,90_PLUS,4920,163123.6713,0.4004959753586716
Classic FICO,700 to 739,60_DPD,CENSORED_DEFECT,2,59.54,0.00014618068722228
Classic FICO,700 to 739,60_DPD,CENSORED_RPL,15,535.8755,0.0013156642401004853
Classic FICO,700 to 739,60_DPD,CURRENT,1227,41579.6217,0.10208494582714857
Classic FICO,700 to 739,60_DPD,DEFAULTED,18,643.1801,0.0015791150323428748
Classic FICO,700 to 739,60_DPD,PAID_OFF,55,1854.4437,0.004552970347346786
