vintage,state,rows,weighted_rows
2005Q1,CURRENT,756117,25582160.131199997
2005Q1,90_PLUS,14795,500568.11199999996
2005Q1,30_DPD,14692,497083.25119999994
2005Q1,PAID_OFF,9228,312216.4608
2005Q1,60_DPD,4394,148664.83839999998
2005Q1,DEFAULTED,2467,83467.49119999999
2005Q1,CENSORED_RPL,116,3924.6975999999995
2005Q1,CENSORED_DEFECT,17,575.1712
2005Q2,CURRENT,730747,28343410.8143
2005Q2,90_PLUS,16904,655653.7576
2005Q2,30_DPD,15702,609031.9038000001
2005Q2,PAID_OFF,9105,353154.7245
2005Q2,60_DPD,4881,189318.85890000002
2005Q2,DEFAULTED,2593,100574.4317
2005Q2,CENSORED_RPL,131,5081.0839000000005
2005Q2,CENSORED_DEFECT,33,1279.9677000000001
2005Q3,CURRENT,741455,37691345.9065
2005Q3,90_PLUS,18821,956752.3603
2005Q3,30_DPD,16429,835156.7147
2005Q3,PAID_OFF,8978,456390.3454
2005Q3,60_DPD,5183,263474.1769
2005Q3,DEFAULTED,2782,141421.0226
2005Q3,CENSORED_RPL,146,7421.8078
2005Q3,CENSORED_DEFECT,19,965.8516999999999
2005Q4,CURRENT,683172,25749230.9004
2005Q4,90_PLUS,22181,836017.4167
2005Q4,30_DPD,17676,666220.8132
2005Q4,PAID_OFF,8844,333336.55079999997
2005Q4,60_DPD,5905,222563.5835
2005Q4,DEFAULTED,3644,137344.9108
2005Q4,CENSORED_RPL,182,6859.7074
2005Q4,CENSORED_DEFECT,23,866.8860999999999
2006Q1,CURRENT,630779,18833420.9146
2006Q1,90_PLUS,24292,725295.9608
2006Q1,30_DPD,17421,520145.7654
2006Q1,PAID_OFF,8722,260416.24279999998
2006Q1,60_DPD,5953,177741.1022
2006Q1,DEFAULTED,4209,125669.79659999999
2006Q1,CENSORED_RPL,187,5583.333799999999
2006Q1,CENSORED_DEFECT,43,1283.8682
2006Q2,CURRENT,564327,17393009.6016
2006Q2,90_PLUS,23153,713593.9824
2006Q2,30_DPD,16878,520193.46239999996
2006Q2,PAID_OFF,8834,272270.9472
2006Q2,60_DPD,6270,193246.416
2006Q2,DEFAULTED,3694,113852.0352
2006Q2,CENSORED_RPL,195,6010.056
2006Q2,CENSORED_DEFECT,44,1356.1152
2006Q3,CURRENT,539948,15333173.33
2006Q3,90_PLUS,23028,653937.63
2006Q3,30_DPD,16343,464100.3425
2006Q3,PAID_OFF,8813,250267.1675
2006Q3,60_DPD,5704,161979.34
2006Q3,DEFAULTED,3876,110068.71
2006Q3,CENSORED_RPL,186,5281.935
2006Q3,CENSORED_DEFECT,44,1249.49
2006Q4,CURRENT,578950,17529853.365000002
2006Q4,90_PLUS,25787,780796.8369
2006Q4,30_DPD,18259,552858.7833
2006Q4,PAID_OFF,8619,260972.1153
2006Q4,60_DPD,6241,188969.3667
2006Q4,DEFAULTED,4374,132439.0338
2006Q4,CENSORED_RPL,225,6812.7075
2006Q4,CENSORED_DEFECT,69,2089.2303
2007Q1,CURRENT,582862,17621725.1322
2007Q1,90_PLUS,24936,753892.5816
2007Q1,30_DPD,17305,523183.7955
2007Q1,PAID_OFF,8603,260095.3593
2007Q1,60_DPD,5977,180703.23870000002
2007Q1,DEFAULTED,4170,126072.027
2007Q1,CENSORED_RPL,237,7165.2447
2007Q1,CENSORED_DEFECT,80,2418.648
2007Q2,CURRENT,561989,19897501.5395
2007Q2,90_PLUS,28196,998293.4780000001
2007Q2,30_DPD,18530,656063.915
2007Q2,PAID_OFF,8488,300521.884
2007Q2,60_DPD,6523,230950.07650000002
2007Q2,DEFAULTED,4808,170229.64400000003
2007Q2,CENSORED_RPL,202,7151.911000000001
2007Q2,CENSORED_DEFECT,94,3328.117
2007Q3,CURRENT,488701,13927001.098000001
2007Q3,90_PLUS,28378,808716.2440000001
2007Q3,30_DPD,18198,518606.604
2007Q3,PAID_OFF,8475,241520.55000000002
2007Q3,60_DPD,6982,198973.03600000002
2007Q3,DEFAULTED,4877,138984.746
2007Q3,CENSORED_RPL,212,6041.576
2007Q3,CENSORED_DEFECT,117,3334.266
2007Q4,CURRENT,499393,14823282.6618
2007Q4,90_PLUS,28327,840819.0102
2007Q4,30_DPD,18047,535681.8822
2007Q4,PAID_OFF,8425,250075.905
2007Q4,60_DPD,6868,203860.0968
2007Q4,DEFAULTED,5016,148887.9216
2007Q4,CENSORED_RPL,244,7242.5544
2007Q4,CENSORED_DEFECT,119,3532.2294
