feature,coefficient,odds_ratio
intercept,-3.6631163084,0.0256524471
numeric__loan_age_months,0.0331632486,1.0337192787
numeric__current_interest_rate,-0.0278381176,0.9725457921
numeric__estimated_ltv,0.1401039071,1.1503933267
numeric__orig_fico,0.2154857505,1.2404643069
numeric__orig_ltv,0.1401039071,1.1503933267
numeric__orig_dti,-0.0223299119,0.9779175551
numeric__orig_interest_rate,0.0846047911,1.0882868811
categorical__current_state_30_DPD,-1.9127339237,0.1476760990
categorical__current_state_60_DPD,0.0364954162,1.0371695499
categorical__current_state_90_PLUS,3.2730400993,26.3914501383
categorical__current_state_CURRENT,-5.0313969445,0.0065296826
categorical__vintage_2005Q1,-0.2718384530,0.7619773463
categorical__vintage_2005Q2,-0.3912810770,0.6761900679
categorical__vintage_2005Q3,-0.2054999413,0.8142401424
categorical__vintage_2005Q4,-0.1871242861,0.8293406545
categorical__vintage_2006Q1,-0.1934959078,0.8240732085
categorical__vintage_2006Q2,-0.3063824583,0.7361050362
categorical__vintage_2006Q3,-0.3357017107,0.7148363021
categorical__vintage_2006Q4,-0.2615673239,0.7698440448
categorical__vintage_2007Q1,-0.2891607029,0.7488918467
categorical__vintage_2007Q2,-0.4513648650,0.6367584689
categorical__vintage_2007Q3,-0.4243252080,0.6542110926
categorical__vintage_2007Q4,-0.3168534190,0.7284375224
categorical__occupancy_status_I,-0.9554442928,0.3846412133
categorical__occupancy_status_P,-1.3808662613,0.2513607147
categorical__occupancy_status_S,-1.2982847986,0.2729996411
categorical__loan_purpose_C,-1.3052200669,0.2711128655
categorical__loan_purpose_N,-1.1391819023,0.3200807721
categorical__loan_purpose_P,-1.1901933835,0.3041624384
categorical__modification_flag_P,-0.6171765224,0.5394654580
categorical__modification_flag_Unknown,-0.2083321365,0.8119373179
categorical__modification_flag_Y,-2.8090866938,0.0602600031
