segment_type,segment,from_state,to_state,sample_count,weighted_count,probability
Overall,All,30_DPD,30_DPD,98594,3309390.8724000002,0.4799575518
Overall,All,30_DPD,60_DPD,39613,1320324.2172999999,0.1914852622
Overall,All,30_DPD,90_PLUS,252,8240.9993000000,0.0011951836
Overall,All,30_DPD,CENSORED_DEFECT,30,932.2592000000,0.0001352046
Overall,All,30_DPD,CENSORED_RPL,296,9812.4797000000,0.0014230938
Overall,All,30_DPD,CURRENT,65188,2198615.4534999998,0.3188629361
Overall,All,30_DPD,DEFAULTED,37,1220.1691000000,0.0001769599
Overall,All,30_DPD,PAID_OFF,1379,46637.6334000000,0.0067638080
Overall,All,60_DPD,30_DPD,10668,357135.2423000000,0.1513542126
Overall,All,60_DPD,60_DPD,26723,889872.8675000001,0.3771288611
Overall,All,60_DPD,90_PLUS,25772,854160.4649000000,0.3619939152
Overall,All,60_DPD,CENSORED_DEFECT,15,491.0274000000,0.0002080978
Overall,All,60_DPD,CENSORED_RPL,71,2446.2063000000,0.0010367043
Overall,All,60_DPD,CURRENT,7192,241493.8662000000,0.1023453013
Overall,All,60_DPD,DEFAULTED,67,2225.1364000000,0.0009430147
Overall,All,60_DPD,PAID_OFF,346,11774.1463000000,0.0049898930
Overall,All,90_PLUS,30_DPD,1762,58209.5285000000,0.0063129681
Overall,All,90_PLUS,60_DPD,3701,122553.8886000000,0.0132912740
Overall,All,90_PLUS,90_PLUS,252028,8337277.5788000003,0.9041984888
Overall,All,90_PLUS,CENSORED_DEFECT,354,11079.4464000000,0.0012015935
Overall,All,90_PLUS,CENSORED_RPL,18,594.5336000000,0.0000644786
Overall,All,90_PLUS,CURRENT,11002,365771.8039000000,0.0396688618
Overall,All,90_PLUS,DEFAULTED,8970,295944.9736000000,0.0320959684
Overall,All,90_PLUS,PAID_OFF,854,29195.8877000000,0.0031663666
Overall,All,CURRENT,30_DPD,94371,3170752.5710999998,0.0125506732
Overall,All,CURRENT,60_DPD,842,27630.9261000000,0.0001093705
Overall,All,CURRENT,90_PLUS,684,22655.1091000000,0.0000896749
Overall,All,CURRENT,CENSORED_DEFECT,271,8702.5906000000,0.0000344471
Overall,All,CURRENT,CENSORED_RPL,1878,61723.3955000000,0.0002443174
Overall,All,CURRENT,CURRENT,7155244,245882127.3070999980,0.9732661752
Overall,All,CURRENT,DEFAULTED,64,2064.1954000000,0.0000081706
Overall,All,CURRENT,PAID_OFF,102455,3460399.2612000001,0.0136971710
Overall,All,DEFAULTED,CENSORED_DEFECT,30,989.8493000000,0.0008059850
Overall,All,DEFAULTED,DEFAULTED,37360,1227133.9351999999,0.9991940150
