segment_type,segment,from_state,to_state,sample_count,weighted_count,probability
Classic FICO,660 to 699,30_DPD,30_DPD,27210,915588.5651000000,0.4825957073
Classic FICO,660 to 699,30_DPD,60_DPD,10969,366306.4280000000,0.1930757072
Classic FICO,660 to 699,30_DPD,90_PLUS,58,1914.0889000000,0.0010088932
Classic FICO,660 to 699,30_DPD,CENSORED_DEFECT,7,221.6019000000,0.0001168037
Classic FICO,660 to 699,30_DPD,CENSORED_RPL,70,2402.5957000000,0.0012663793
Classic FICO,660 to 699,30_DPD,CURRENT,17781,599180.4396000000,0.3158207945
Classic FICO,660 to 699,30_DPD,DEFAULTED,5,163.2906000000,0.0000860685
Classic FICO,660 to 699,30_DPD,PAID_OFF,338,11439.5449000000,0.0060296464
Classic FICO,660 to 699,60_DPD,30_DPD,3011,101433.1508000000,0.1528331681
Classic FICO,660 to 699,60_DPD,60_DPD,7695,256778.3619000000,0.3868976784
Classic FICO,660 to 699,60_DPD,90_PLUS,7070,234339.0682000000,0.3530875451
Classic FICO,660 to 699,60_DPD,CENSORED_DEFECT,6,197.4742000000,0.0002975419
Classic FICO,660 to 699,60_DPD,CENSORED_RPL,18,615.7065000000,0.0009277083
Classic FICO,660 to 699,60_DPD,CURRENT,1983,66594.2556000000,0.1003400859
Classic FICO,660 to 699,60_DPD,DEFAULTED,12,379.5732000000,0.0005719173
Classic FICO,660 to 699,60_DPD,PAID_OFF,98,3347.8651000000,0.0050443551
Classic FICO,660 to 699,90_PLUS,30_DPD,502,16832.2896000000,0.0066776888
Classic FICO,660 to 699,90_PLUS,60_DPD,1024,33740.2122000000,0.0133853827
Classic FICO,660 to 699,90_PLUS,90_PLUS,68937,2279448.3901000000,0.9043004488
Classic FICO,660 to 699,90_PLUS,CENSORED_DEFECT,97,3033.4153000000,0.0012034134
Classic FICO,660 to 699,90_PLUS,CENSORED_RPL,8,260.9642000000,0.0001035295
Classic FICO,660 to 699,90_PLUS,CURRENT,2999,99797.7195000000,0.0395916499
Classic FICO,660 to 699,90_PLUS,DEFAULTED,2446,80618.5546000000,0.0319829111
Classic FICO,660 to 699,90_PLUS,PAID_OFF,205,6944.4014000000,0.0027549759
Classic FICO,660 to 699,CURRENT,30_DPD,25716,863456.4034000000,0.0176653222
Classic FICO,660 to 699,CURRENT,60_DPD,210,7008.2717000000,0.0001433812
Classic FICO,660 to 699,CURRENT,90_PLUS,165,5435.2249000000,0.0001111984
Classic FICO,660 to 699,CURRENT,CENSORED_DEFECT,73,2341.7069000000,0.0000479086
Classic FICO,660 to 699,CURRENT,CENSORED_RPL,515,17011.1403000000,0.0003480283
Classic FICO,660 to 699,CURRENT,CURRENT,1389220,47393866.4767000005,0.9696238489
Classic FICO,660 to 699,CURRENT,DEFAULTED,15,509.3540000000,0.0000104208
Classic FICO,660 to 699,CURRENT,PAID_OFF,17486,588981.9587000000,0.0120498916
Classic FICO,660 to 699,DEFAULTED,CENSORED_DEFECT,9,299.0422000000,0.0008392245
Classic FICO,660 to 699,DEFAULTED,DEFAULTED,10837,356032.5642000000,0.9991607755
Classic FICO,700 to 739,30_DPD,30_DPD,15441,520256.1942000000,0.4480869957
Classic FICO,700 to 739,30_DPD,60_DPD,7142,238111.9030000000,0.2050813588
Classic FICO,700 to 739,30_DPD,90_PLUS,32,1044.3065000000,0.0008994418
Classic FICO,700 to 739,30_DPD,CENSORED_DEFECT,4,126.9133000000,0.0001093081
Classic FICO,700 to 739,30_DPD,CENSORED_RPL,57,1882.5782000000,0.0016214296
Classic FICO,700 to 739,30_DPD,CURRENT,11520,389802.6511000000,0.3357297823
Classic FICO,700 to 739,30_DPD,DEFAULTED,11,358.8092000000,0.0003090357
Classic FICO,700 to 739,30_DPD,PAID_OFF,278,9477.3297000000,0.0081626480
Classic FICO,700 to 739,60_DPD,30_DPD,1630,54760.7662000000,0.1344468666
Classic FICO,700 to 739,60_DPD,60_DPD,4289,144747.0477000000,0.3553782819
Classic FICO,700 to 739,60_DPD,90_PLUS,4920,163123.6713000000,0.4004959754
Classic FICO,700 to 739,60_DPD,CENSORED_DEFECT,2,59.5400000000,0.0001461807
Classic FICO,700 to 739,60_DPD,CENSORED_RPL,15,535.8755000000,0.0013156642
Classic FICO,700 to 739,60_DPD,CURRENT,1227,41579.6217000000,0.1020849458
Classic FICO,700 to 739,60_DPD,DEFAULTED,18,643.1801000000,0.0015791150
Classic FICO,700 to 739,60_DPD,PAID_OFF,55,1854.4437000000,0.0045529703
Classic FICO,700 to 739,90_PLUS,30_DPD,267,8841.9281000000,0.0047456755
Classic FICO,700 to 739,90_PLUS,60_DPD,592,20054.6320000000,0.0107638034
Classic FICO,700 to 739,90_PLUS,90_PLUS,51381,1695374.1691000001,0.9099481013
Classic FICO,700 to 739,90_PLUS,CENSORED_DEFECT,70,2165.7913000000,0.0011624323
Classic FICO,700 to 739,90_PLUS,CURRENT,1943,64455.4153000000,0.0345947720
Classic FICO,700 to 739,90_PLUS,DEFAULTED,2019,66521.8636000000,0.0357038845
Classic FICO,700 to 739,90_PLUS,PAID_OFF,169,5740.9967000000,0.0030813310
Classic FICO,700 to 739,CURRENT,30_DPD,17133,576698.5196000000,0.0104998958
Classic FICO,700 to 739,CURRENT,60_DPD,136,4485.2222000000,0.0000816620
Classic FICO,700 to 739,CURRENT,90_PLUS,120,4003.4842000000,0.0000728911
Classic FICO,700 to 739,CURRENT,CENSORED_DEFECT,50,1620.0353000000,0.0000294958
Classic FICO,700 to 739,CURRENT,CENSORED_RPL,391,12772.1023000000,0.0002325405
Classic FICO,700 to 739,CURRENT,CURRENT,1559233,53580711.4864999950,0.9755389790
Classic FICO,700 to 739,CURRENT,DEFAULTED,10,332.5134000000,0.0000060540
Classic FICO,700 to 739,CURRENT,PAID_OFF,22003,743590.4705000001,0.0135384818
Classic FICO,700 to 739,DEFAULTED,CENSORED_DEFECT,6,190.8911000000,0.0007062296
Classic FICO,700 to 739,DEFAULTED,DEFAULTED,8204,270105.1810000000,0.9992937704
Classic FICO,740 plus,30_DPD,30_DPD,10533,352458.8712000000,0.4071399902
Classic FICO,740 plus,30_DPD,60_DPD,5665,188827.0397000000,0.2181220147
Classic FICO,740 plus,30_DPD,90_PLUS,26,831.8266000000,0.0009608777
Classic FICO,740 plus,30_DPD,CENSORED_DEFECT,2,68.4695000000,0.0000790920
Classic FICO,740 plus,30_DPD,CENSORED_RPL,36,1191.2410000000,0.0013760523
Classic FICO,740 plus,30_DPD,CURRENT,9187,311344.4194000000,0.3596469665
Classic FICO,740 plus,30_DPD,DEFAULTED,15,493.3836000000,0.0005699280
Classic FICO,740 plus,30_DPD,PAID_OFF,312,10479.3005000000,0.0121050785
Classic FICO,740 plus,60_DPD,30_DPD,1014,33941.9865000000,0.1144231251
Classic FICO,740 plus,60_DPD,60_DPD,2886,94751.8946000000,0.3194217252
Classic FICO,740 plus,60_DPD,90_PLUS,4010,133113.8713000000,0.4487452478
Classic FICO,740 plus,60_DPD,CENSORED_DEFECT,2,67.2849000000,0.0002268267
Classic FICO,740 plus,60_DPD,CENSORED_RPL,8,261.4064000000,0.0008812371
Classic FICO,740 plus,60_DPD,CURRENT,935,31439.6242000000,0.1059873161
Classic FICO,740 plus,60_DPD,DEFAULTED,29,905.5120000000,0.0030526060
Classic FICO,740 plus,60_DPD,PAID_OFF,63,2154.1437000000,0.0072619160
Classic FICO,740 plus,90_PLUS,30_DPD,174,5619.0535000000,0.0037212289
Classic FICO,740 plus,90_PLUS,60_DPD,306,10109.4033000000,0.0066949716
Classic FICO,740 plus,90_PLUS,90_PLUS,41335,1373103.6957000000,0.9093405375
Classic FICO,740 plus,90_PLUS,CENSORED_DEFECT,46,1418.3096000000,0.0009392782
Classic FICO,740 plus,90_PLUS,CENSORED_RPL,2,67.2849000000,0.0000445596
Classic FICO,740 plus,90_PLUS,CURRENT,1439,48046.2221000000,0.0318187021
Classic FICO,740 plus,90_PLUS,DEFAULTED,1980,65506.9801000000,0.0433821223
Classic FICO,740 plus,90_PLUS,PAID_OFF,179,6128.4834000000,0.0040585998
Classic FICO,740 plus,CURRENT,30_DPD,14041,473230.6953000000,0.0043357374
